source_file,entity_type,entity_id,source_column,metadata_category,metadata_value
customers.csv,Customer,ALFKI,country,country,Germany
customers.csv,Customer,ALFKI,city,city,Berlin
customers.csv,Customer,ALFKI,postalCode,postal_code,12209
customers.csv,Customer,ANATR,country,country,Mexico
customers.csv,Customer,ANATR,city,city,México D.F.
customers.csv,Customer,ANATR,postalCode,postal_code,5021
customers.csv,Customer,ANTON,country,country,Mexico
customers.csv,Customer,ANTON,city,city,México D.F.
customers.csv,Customer,ANTON,postalCode,postal_code,5023
customers.csv,Customer,AROUT,country,country,UK
customers.csv,Customer,AROUT,city,city,London
customers.csv,Customer,AROUT,postalCode,postal_code,WA1 1DP
customers.csv,Customer,BERGS,country,country,Sweden
customers.csv,Customer,BERGS,city,city,Luleå
customers.csv,Customer,BERGS,postalCode,postal_code,S-958 22
customers.csv,Customer,BLAUS,country,country,Germany
customers.csv,Customer,BLAUS,city,city,Mannheim
customers.csv,Customer,BLAUS,postalCode,postal_code,68306
customers.csv,Customer,BLONP,country,country,France
customers.csv,Customer,BLONP,city,city,Strasbourg
customers.csv,Customer,BLONP,postalCode,postal_code,67000
customers.csv,Customer,BOLID,country,country,Spain
customers.csv,Customer,BOLID,city,city,Madrid
customers.csv,Customer,BOLID,postalCode,postal_code,28023
customers.csv,Customer,BONAP,country,country,France
customers.csv,Customer,BONAP,city,city,Marseille
customers.csv,Customer,BONAP,postalCode,postal_code,13008
customers.csv,Customer,BOTTM,country,country,Canada
customers.csv,Customer,BOTTM,region,region,BC
customers.csv,Customer,BOTTM,city,city,Tsawassen
customers.csv,Customer,BOTTM,postalCode,postal_code,T2F 8M4
customers.csv,Customer,BSBEV,country,country,UK
customers.csv,Customer,BSBEV,city,city,London
customers.csv,Customer,BSBEV,postalCode,postal_code,EC2 5NT
customers.csv,Customer,CACTU,country,country,Argentina
customers.csv,Customer,CACTU,city,city,Buenos Aires
customers.csv,Customer,CACTU,postalCode,postal_code,1010
customers.csv,Customer,CENTC,country,country,Mexico
customers.csv,Customer,CENTC,city,city,México D.F.
customers.csv,Customer,CENTC,postalCode,postal_code,5022
customers.csv,Customer,CHOPS,country,country,Switzerland
customers.csv,Customer,CHOPS,city,city,Bern
customers.csv,Customer,CHOPS,postalCode,postal_code,3012
customers.csv,Customer,COMMI,country,country,Brazil
customers.csv,Customer,COMMI,region,region,SP
customers.csv,Customer,COMMI,city,city,Sao Paulo
customers.csv,Customer,COMMI,postalCode,postal_code,05432-043
customers.csv,Customer,CONSH,country,country,UK
customers.csv,Customer,CONSH,city,city,London
customers.csv,Customer,CONSH,postalCode,postal_code,WX1 6LT
customers.csv,Customer,DRACD,country,country,Germany
customers.csv,Customer,DRACD,city,city,Aachen
customers.csv,Customer,DRACD,postalCode,postal_code,52066
customers.csv,Customer,DUMON,country,country,France
